first_author,study_ID,effect_size_ID,year_published,citation,journal,level,phyllum,class,order,family,common_name,scientific_name,scientific_name_OTL,strain,developmental_stage,includes_body_size,body_size,size_unit,pop_source,temp,exposure_method,vehicle,bisphenol,bisphenol_conc,bispheno_unit_paper,bispenol_unit_standardized,Bispheno_corrected_ug,time,time_days,lag,sex,tissue_type,cell_type,cell_gen,molecule_type,molecule,abbreviation,type,role,response,response_unit,mean_control,sd_control,se_control,n_control,mean_treat,sd_treat,se_treat,n_treat,tool,mean_c_1,mean_t_1,pooled_sd,hedges_calc,hedges_abs,lnRR,lnRR_variance
Fang,16,218,2016,"Fang, Qi, Qipeng Shi, Yongyong Guo, Jianghuan Hua, Xianfeng Wang, and Bingsheng Zhou. ""Enhanced bioconcentration of bisphenol A in the presence of nano-TiO2 can lead to adverse reproductive outcomes in zebrafish."" Environmental Science & Technology 50, no. 2 (2016): 1005-1013.",Environmental Science & Technology,Organism,Chordate,Actinopterygii,Cypriniformes,Cyprinidae,Zebrafish,Danio rerio,Danio rerio,AB,Adult,N,NA,NA,Lab,27.5-28.5,Aqueous,DMSO,BPA,20,ug/L,ug/L,20,21 days,21,0,Male,Blood,NA,NA,Hormone,Follicle Stimulating Hormone,FSH,Pituitary,Reproductive,Circulating level,IU/L,6.610169492,0.998130974,0.576271186,3,7.186440678,1.232985321,0.711864407,3,webplot,7.610169492,8.186440678,1.121721499,0.513738202,0.513738202,0.083586716,0.017412474
Fang,16,219,2016,"Fang, Qi, Qipeng Shi, Yongyong Guo, Jianghuan Hua, Xianfeng Wang, and Bingsheng Zhou. ""Enhanced bioconcentration of bisphenol A in the presence of nano-TiO2 can lead to adverse reproductive outcomes in zebrafish."" Environmental Science & Technology 50, no. 2 (2016): 1005-1013.",Environmental Science & Technology,Organism,Chordate,Actinopterygii,Cypriniformes,Cyprinidae,Zebrafish,Danio rerio,Danio rerio,AB,Adult,N,NA,NA,Lab,27.5-28.5,Aqueous,DMSO,BPA,200,ug/L,ug/L,200,21 days,21,0,Male,Blood,NA,NA,Hormone,Follicle Stimulating Hormone,FSH,Pituitary,Reproductive,Circulating level,IU/L,6.610169492,0.998130974,0.576271186,3,4.033898305,0.469708694,0.271186441,3,webplot,7.610169492,5.033898305,0.78002939,-3.302787331,3.302787331,-0.493876065,0.012119718
Fang,16,220,2016,"Fang, Qi, Qipeng Shi, Yongyong Guo, Jianghuan Hua, Xianfeng Wang, and Bingsheng Zhou. ""Enhanced bioconcentration of bisphenol A in the presence of nano-TiO2 can lead to adverse reproductive outcomes in zebrafish."" Environmental Science & Technology 50, no. 2 (2016): 1005-1013.",Environmental Science & Technology,Organism,Chordate,Actinopterygii,Cypriniformes,Cyprinidae,Zebrafish,Danio rerio,Danio rerio,AB,Adult,N,NA,NA,Lab,27.5-28.5,Aqueous,DMSO,BPA,2,ug/L,ug/L,2,21 days,21,0,Female,Blood,NA,NA,Hormone,Luteinizing Hormone,LH,Pituitary,Reproductive,Circulating level,ng/L,50.02583979,2.864373429,1.65374677,3,49.40568475,3.222420107,1.860465116,3,webplot,51.02583979,50.40568475,3.048657613,-0.203419051,0.203419051,-0.012474174,0.002510864
Fang,16,221,2016,"Fang, Qi, Qipeng Shi, Yongyong Guo, Jianghuan Hua, Xianfeng Wang, and Bingsheng Zhou. ""Enhanced bioconcentration of bisphenol A in the presence of nano-TiO2 can lead to adverse reproductive outcomes in zebrafish."" Environmental Science & Technology 50, no. 2 (2016): 1005-1013.",Environmental Science & Technology,Organism,Chordate,Actinopterygii,Cypriniformes,Cyprinidae,Zebrafish,Danio rerio,Danio rerio,AB,Adult,N,NA,NA,Lab,27.5-28.5,Aqueous,DMSO,BPA,20,ug/L,ug/L,20,21 days,21,0,Female,Blood,NA,NA,Hormone,Luteinizing Hormone,LH,Pituitary,Reproductive,Circulating level,ng/L,50.02583979,2.864373429,1.65374677,3,49.6124031,3.580466786,2.067183463,3,webplot,51.02583979,50.6124031,3.242250572,-0.127515343,0.127515343,-0.008298803,0.002828933
Fang,16,222,2016,"Fang, Qi, Qipeng Shi, Yongyong Guo, Jianghuan Hua, Xianfeng Wang, and Bingsheng Zhou. ""Enhanced bioconcentration of bisphenol A in the presence of nano-TiO2 can lead to adverse reproductive outcomes in zebrafish."" Environmental Science & Technology 50, no. 2 (2016): 1005-1013.",Environmental Science & Technology,Organism,Chordate,Actinopterygii,Cypriniformes,Cyprinidae,Zebrafish,Danio rerio,Danio rerio,AB,Adult,N,NA,NA,Lab,27.5-28.5,Aqueous,DMSO,BPA,200,ug/L,ug/L,200,21 days,21,0,Female,Blood,NA,NA,Hormone,Luteinizing Hormone,LH,Pituitary,Reproductive,Circulating level,ng/L,50.02583979,2.864373429,1.65374677,3,43.20413437,2.148280071,1.240310078,3,webplot,51.02583979,44.20413437,2.531772344,-2.694438717,2.694438717,-0.146603474,0.001916978
Fang,16,223,2016,"Fang, Qi, Qipeng Shi, Yongyong Guo, Jianghuan Hua, Xianfeng Wang, and Bingsheng Zhou. ""Enhanced bioconcentration of bisphenol A in the presence of nano-TiO2 can lead to adverse reproductive outcomes in zebrafish."" Environmental Science & Technology 50, no. 2 (2016): 1005-1013.",Environmental Science & Technology,Organism,Chordate,Actinopterygii,Cypriniformes,Cyprinidae,Zebrafish,Danio rerio,Danio rerio,AB,Adult,N,NA,NA,Lab,27.5-28.5,Aqueous,DMSO,BPA,2,ug/L,ug/L,2,21 days,21,0,Male,Blood,NA,NA,Hormone,Luteinizing Hormone,LH,Pituitary,Reproductive,Circulating level,ng/L,55.88516746,2.320450843,1.339712919,3,55.31100478,3.646422753,2.105263158,3,webplot,56.88516746,56.31100478,3.056214244,-0.187867287,0.187867287,-0.010327114,0.002023423
Fang,16,224,2016,"Fang, Qi, Qipeng Shi, Yongyong Guo, Jianghuan Hua, Xianfeng Wang, and Bingsheng Zhou. ""Enhanced bioconcentration of bisphenol A in the presence of nano-TiO2 can lead to adverse reproductive outcomes in zebrafish."" Environmental Science & Technology 50, no. 2 (2016): 1005-1013.",Environmental Science & Technology,Organism,Chordate,Actinopterygii,Cypriniformes,Cyprinidae,Zebrafish,Danio rerio,Danio rerio,AB,Adult,N,NA,NA,Lab,27.5-28.5,Aqueous,DMSO,BPA,20,ug/L,ug/L,20,21 days,21,0,Male,Blood,NA,NA,Hormone,Luteinizing Hormone,LH,Pituitary,Reproductive,Circulating level,ng/L,55.88516746,2.320450843,1.339712919,3,53.20574163,4.640901685,2.679425837,3,webplot,56.88516746,54.20574163,3.668954931,-0.730296743,0.730296743,-0.049132689,0.003110786
Fang,16,225,2016,"Fang, Qi, Qipeng Shi, Yongyong Guo, Jianghuan Hua, Xianfeng Wang, and Bingsheng Zhou. ""Enhanced bioconcentration of bisphenol A in the presence of nano-TiO2 can lead to adverse reproductive outcomes in zebrafish."" Environmental Science & Technology 50, no. 2 (2016): 1005-1013.",Environmental Science & Technology,Organism,Chordate,Actinopterygii,Cypriniformes,Cyprinidae,Zebrafish,Danio rerio,Danio rerio,AB,Adult,N,NA,NA,Lab,27.5-28.5,Aqueous,DMSO,BPA,200,ug/L,ug/L,200,21 days,21,0,Male,Blood,NA,NA,Hormone,Luteinizing Hormone,LH,Pituitary,Reproductive,Circulating level,ng/L,55.88516746,2.320450843,1.339712919,3,43.63636364,3.646422753,2.105263158,3,webplot,56.88516746,44.63636364,3.056214244,-4.007835463,4.007835463,-0.247408173,0.002902325
Fang,16,226,2016,"Fang, Qi, Qipeng Shi, Yongyong Guo, Jianghuan Hua, Xianfeng Wang, and Bingsheng Zhou. ""Enhanced bioconcentration of bisphenol A in the presence of nano-TiO2 can lead to adverse reproductive outcomes in zebrafish."" Environmental Science & Technology 50, no. 2 (2016): 1005-1013.",Environmental Science & Technology,Organism,Chordate,Actinopterygii,Cypriniformes,Cyprinidae,Zebrafish,Danio rerio,Danio rerio,AB,Adult,N,NA,NA,Lab,27.5-28.5,Aqueous,DMSO,BPA,2,ug/L,ug/L,2,21 days,21,0,Female,Blood,NA,NA,Hormone,Vitellogenin,VTG,Protein,Reproductive,Circulating level,ng/mL,4.778067885,0.814018656,0.46997389,3,14.25587467,0.949688432,0.548302872,3,webplot,5.778067885,15.25587467,0.88445873,10.71594012,10.71594012,1.093132823,0.011154109
Fang,16,227,2016,"Fang, Qi, Qipeng Shi, Yongyong Guo, Jianghuan Hua, Xianfeng Wang, and Bingsheng Zhou. ""Enhanced bioconcentration of bisphenol A in the presence of nano-TiO2 can lead to adverse reproductive outcomes in zebrafish."" Environmental Science & Technology 50, no. 2 (2016): 1005-1013.",Environmental Science & Technology,Organism,Chordate,Actinopterygii,Cypriniformes,Cyprinidae,Zebrafish,Danio rerio,Danio rerio,AB,Adult,N,NA,NA,Lab,27.5-28.5,Aqueous,DMSO,BPA,20,ug/L,ug/L,20,21 days,21,0,Female,Blood,NA,NA,Hormone,Vitellogenin,VTG,Protein,Reproductive,Circulating level,ng/mL,4.778067885,0.814018656,0.46997389,3,14.17754569,1.221027984,0.704960836,3,webplot,5.778067885,15.17754569,1.037674253,9.058216273,9.058216273,1.087623167,0.012147271
Fang,16,228,2016,"Fang, Qi, Qipeng Shi, Yongyong Guo, Jianghuan Hua, Xianfeng Wang, and Bingsheng Zhou. ""Enhanced bioconcentration of bisphenol A in the presence of nano-TiO2 can lead to adverse reproductive outcomes in zebrafish."" Environmental Science & Technology 50, no. 2 (2016): 1005-1013.",Environmental Science & Technology,Organism,Chordate,Actinopterygii,Cypriniformes,Cyprinidae,Zebrafish,Danio rerio,Danio rerio,AB,Adult,N,NA,NA,Lab,27.5-28.5,Aqueous,DMSO,BPA,200,ug/L,ug/L,200,21 days,21,0,Female,Blood,NA,NA,Hormone,Vitellogenin,VTG,Protein,Reproductive,Circulating level,ng/mL,4.778067885,0.814018656,0.46997389,3,18.72062663,2.577725745,1.488250653,3,webplot,5.778067885,19.72062663,1.911451855,7.294224392,7.294224392,1.365589688,0.015994736
Fang,16,229,2016,"Fang, Qi, Qipeng Shi, Yongyong Guo, Jianghuan Hua, Xianfeng Wang, and Bingsheng Zhou. ""Enhanced bioconcentration of bisphenol A in the presence of nano-TiO2 can lead to adverse reproductive outcomes in zebrafish."" Environmental Science & Technology 50, no. 2 (2016): 1005-1013.",Environmental Science & Technology,Organism,Chordate,Actinopterygii,Cypriniformes,Cyprinidae,Zebrafish,Danio rerio,Danio rerio,AB,Adult,N,NA,NA,Lab,27.5-28.5,Aqueous,DMSO,BPA,2,ug/L,ug/L,2,21 days,21,0,Male,Blood,NA,NA,Hormone,Vitellogenin,VTG,Protein,Reproductive,Circulating level,ng/mL,0.828729282,0.172248147,0.099447514,3,0.79558011,0.344496293,0.198895028,3,webplot,1.828729282,1.79558011,0.272348233,-0.121716124,0.121716124,-0.040821995,0.0769
Fang,16,230,2016,"Fang, Qi, Qipeng Shi, Yongyong Guo, Jianghuan Hua, Xianfeng Wang, and Bingsheng Zhou. ""Enhanced bioconcentration of bisphenol A in the presence of nano-TiO2 can lead to adverse reproductive outcomes in zebrafish."" Environmental Science & Technology 50, no. 2 (2016): 1005-1013.",Environmental Science & Technology,Organism,Chordate,Actinopterygii,Cypriniformes,Cyprinidae,Zebrafish,Danio rerio,Danio rerio,AB,Adult,N,NA,NA,Lab,27.5-28.5,Aqueous,DMSO,BPA,20,ug/L,ug/L,20,21 days,21,0,Male,Blood,NA,NA,Hormone,Vitellogenin,VTG,Protein,Reproductive,Circulating level,ng/mL,0.828729282,0.172248147,0.099447514,3,1.872928177,0.071770061,0.041436464,3,webplot,1.828729282,2.872928177,0.131947652,7.913736092,7.913736092,0.815364813,0.014889467
Fang,16,231,2016,"Fang, Qi, Qipeng Shi, Yongyong Guo, Jianghuan Hua, Xianfeng Wang, and Bingsheng Zhou. ""Enhanced bioconcentration of bisphenol A in the presence of nano-TiO2 can lead to adverse reproductive outcomes in zebrafish."" Environmental Science & Technology 50, no. 2 (2016): 1005-1013.",Environmental Science & Technology,Organism,Chordate,Actinopterygii,Cypriniformes,Cyprinidae,Zebrafish,Danio rerio,Danio rerio,AB,Adult,N,NA,NA,Lab,27.5-28.5,Aqueous,DMSO,BPA,200,ug/L,ug/L,200,21 days,21,0,Male,Blood,NA,NA,Hormone,Vitellogenin,VTG,Protein,Reproductive,Circulating level,ng/mL,0.828729282,0.172248147,0.099447514,3,2.220994475,0.373204318,0.215469613,3,webplot,1.828729282,3.220994475,0.290646595,4.790233968,4.790233968,0.985816795,0.023811896
Feng,17,232,2012,"Feng, Yixing, Jie Yin, Zhihao Jiao, Jiachen Shi, Ming Li, and Bing Shao. ""Bisphenol AF may cause testosterone reduction by directly affecting testis function in adult male rats."" Toxicology letters 211, no. 2 (2012): 201-209.",Toxicology letters,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Adult,Y,,grams,Lab,20-26,Gavage,Corn oil + ethanol,BPAF,2,mg/kg bw/day,mg/kg,2000,14 days,14,0,Male,Blood,NA,NA,Hormone,Testosterone,T,Androgen,Reproductive,Circulating level,ng/mL,4.786259542,1.514569994,0.618320611,6,3.34351145,2.524283323,1.030534351,6,metadigitize,5.786259542,4.34351145,2.081577354,-0.69310328,0.69310328,-0.35872763,0.11168824
Feng,17,233,2012,"Feng, Yixing, Jie Yin, Zhihao Jiao, Jiachen Shi, Ming Li, and Bing Shao. ""Bisphenol AF may cause testosterone reduction by directly affecting testis function in adult male rats."" Toxicology letters 211, no. 2 (2012): 201-209.",Toxicology letters,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Adult,Y,,grams,Lab,20-26,Gavage,Corn oil + ethanol,BPAF,10,mg/kg bw/day,mg/kg,10000,14 days,14,0,Male,Blood,NA,NA,Hormone,Testosterone,T,Androgen,Reproductive,Circulating level,ng/mL,4.786259542,1.514569994,0.618320611,6,4.740458015,2.973044802,1.213740458,6,metadigitize,5.786259542,5.740458015,2.359334404,-0.019412902,0.019412902,-0.009615459,0.082244967
Feng,17,234,2012,"Feng, Yixing, Jie Yin, Zhihao Jiao, Jiachen Shi, Ming Li, and Bing Shao. ""Bisphenol AF may cause testosterone reduction by directly affecting testis function in adult male rats."" Toxicology letters 211, no. 2 (2012): 201-209.",Toxicology letters,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Adult,Y,,grams,Lab,20-26,Gavage,Corn oil + ethanol,BPAF,50,mg/kg bw/day,mg/kg,50000,14 days,14,0,Male,Blood,NA,NA,Hormone,Testosterone,T,Androgen,Reproductive,Circulating level,ng/mL,4.786259542,1.514569994,0.618320611,6,2.79389313,4.263234056,1.740458015,6,metadigitize,5.786259542,3.79389313,3.199147299,-0.622780456,0.622780456,-0.538313207,0.404756902
Feng,17,235,2012,"Feng, Yixing, Jie Yin, Zhihao Jiao, Jiachen Shi, Ming Li, and Bing Shao. ""Bisphenol AF may cause testosterone reduction by directly affecting testis function in adult male rats."" Toxicology letters 211, no. 2 (2012): 201-209.",Toxicology letters,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Adult,Y,,grams,Lab,20-26,Gavage,Corn oil + ethanol,BPAF,200,mg/kg bw/day,mg/kg,200000,14 days,14,0,Male,Blood,NA,NA,Hormone,Testosterone,T,Androgen,Reproductive,Circulating level,ng/mL,4.786259542,1.514569994,0.618320611,6,0.480916031,0.280475925,0.114503817,6,metadigitize,5.786259542,1.480916031,1.089171476,-3.952861055,3.952861055,-2.297811814,0.073378521
Feng,17,236,2012,"Feng, Yixing, Jie Yin, Zhihao Jiao, Jiachen Shi, Ming Li, and Bing Shao. ""Bisphenol AF may cause testosterone reduction by directly affecting testis function in adult male rats."" Toxicology letters 211, no. 2 (2012): 201-209.",Toxicology letters,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Adult,Y,,grams,Lab,20-26,Gavage,Corn oil + ethanol,BPAF,2,mg/kg bw/day,mg/kg,2000,14 days,14,0,Male,Blood,NA,NA,Hormone,Follicle Stimulating Hormone,FSH,Pituitary,Reproductive,Circulating level,mIU/mL,1.65,0.269443872,0.11,6,1.66,0.416413256,0.17,6,metadigitize,2.65,2.66,0.350713558,0.028513297,0.028513297,0.006042314,0.014932179
Feng,17,237,2012,"Feng, Yixing, Jie Yin, Zhihao Jiao, Jiachen Shi, Ming Li, and Bing Shao. ""Bisphenol AF may cause testosterone reduction by directly affecting testis function in adult male rats."" Toxicology letters 211, no. 2 (2012): 201-209.",Toxicology letters,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Adult,Y,,grams,Lab,20-26,Gavage,Corn oil + ethanol,BPAF,10,mg/kg bw/day,mg/kg,10000,14 days,14,0,Male,Blood,NA,NA,Hormone,Follicle Stimulating Hormone,FSH,Pituitary,Reproductive,Circulating level,mIU/mL,1.65,0.269443872,0.11,6,2.22,0.269443872,0.11,6,metadigitize,2.65,3.22,0.269443872,2.115468414,2.115468414,0.296731908,0.006899602
Feng,17,238,2012,"Feng, Yixing, Jie Yin, Zhihao Jiao, Jiachen Shi, Ming Li, and Bing Shao. ""Bisphenol AF may cause testosterone reduction by directly affecting testis function in adult male rats."" Toxicology letters 211, no. 2 (2012): 201-209.",Toxicology letters,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Adult,Y,,grams,Lab,20-26,Gavage,Corn oil + ethanol,BPAF,50,mg/kg bw/day,mg/kg,50000,14 days,14,0,Male,Blood,NA,NA,Hormone,Follicle Stimulating Hormone,FSH,Pituitary,Reproductive,Circulating level,mIU/mL,1.65,0.269443872,0.11,6,2.24,0.563382641,0.23,6,metadigitize,2.65,3.24,0.441588043,1.3360869,1.3360869,0.305700578,0.014987333
Feng,17,239,2012,"Feng, Yixing, Jie Yin, Zhihao Jiao, Jiachen Shi, Ming Li, and Bing Shao. ""Bisphenol AF may cause testosterone reduction by directly affecting testis function in adult male rats."" Toxicology letters 211, no. 2 (2012): 201-209.",Toxicology letters,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Adult,Y,,grams,Lab,20-26,Gavage,Corn oil + ethanol,BPAF,200,mg/kg bw/day,mg/kg,200000,14 days,14,0,Male,Blood,NA,NA,Hormone,Follicle Stimulating Hormone,FSH,Pituitary,Reproductive,Circulating level,mIU/mL,1.65,0.269443872,0.11,6,2.23,0.220454077,0.09,6,metadigitize,2.65,3.23,0.246170673,2.356088945,2.356088945,0.301226298,0.006073273
Feng,17,240,2012,"Feng, Yixing, Jie Yin, Zhihao Jiao, Jiachen Shi, Ming Li, and Bing Shao. ""Bisphenol AF may cause testosterone reduction by directly affecting testis function in adult male rats."" Toxicology letters 211, no. 2 (2012): 201-209.",Toxicology letters,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Adult,Y,,grams,Lab,20-26,Gavage,Corn oil + ethanol,BPAF,2,mg/kg bw/day,mg/kg,2000,14 days,14,0,Male,Blood,NA,NA,Hormone,Luteinizing Hormone,LH,Pituitary,Reproductive,Circulating level,mIU/mL,0.726693227,0.359128377,0.146613546,6,0.905179283,0.156142772,0.06374502,6,metadigitize,1.726693227,1.905179283,0.276905901,0.644572958,0.644572958,0.219628609,0.045664166
Feng,17,241,2012,"Feng, Yixing, Jie Yin, Zhihao Jiao, Jiachen Shi, Ming Li, and Bing Shao. ""Bisphenol AF may cause testosterone reduction by directly affecting testis function in adult male rats."" Toxicology letters 211, no. 2 (2012): 201-209.",Toxicology letters,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Adult,Y,,grams,Lab,20-26,Gavage,Corn oil + ethanol,BPAF,10,mg/kg bw/day,mg/kg,10000,14 days,14,0,Male,Blood,NA,NA,Hormone,Luteinizing Hormone,LH,Pituitary,Reproductive,Circulating level,mIU/mL,0.726693227,0.359128377,0.146613546,6,0.777689243,0.218599881,0.089243028,6,metadigitize,1.726693227,1.777689243,0.297286982,0.171538006,0.171538006,0.067822596,0.053873335
Feng,17,242,2012,"Feng, Yixing, Jie Yin, Zhihao Jiao, Jiachen Shi, Ming Li, and Bing Shao. ""Bisphenol AF may cause testosterone reduction by directly affecting testis function in adult male rats."" Toxicology letters 211, no. 2 (2012): 201-209.",Toxicology letters,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Adult,Y,,grams,Lab,20-26,Gavage,Corn oil + ethanol,BPAF,50,mg/kg bw/day,mg/kg,50000,14 days,14,0,Male,Blood,NA,NA,Hormone,Luteinizing Hormone,LH,Pituitary,Reproductive,Circulating level,mIU/mL,0.726693227,0.359128377,0.146613546,6,1.211155378,0.343514099,0.140239044,6,metadigitize,1.726693227,2.211155378,0.351407973,1.378631642,1.378631642,0.510825624,0.054112034
Feng,17,243,2012,"Feng, Yixing, Jie Yin, Zhihao Jiao, Jiachen Shi, Ming Li, and Bing Shao. ""Bisphenol AF may cause testosterone reduction by directly affecting testis function in adult male rats."" Toxicology letters 211, no. 2 (2012): 201-209.",Toxicology letters,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Adult,Y,,grams,Lab,20-26,Gavage,Corn oil + ethanol,BPAF,200,mg/kg bw/day,mg/kg,200000,14 days,14,0,Male,Blood,NA,NA,Hormone,Luteinizing Hormone,LH,Pituitary,Reproductive,Circulating level,mIU/mL,0.726693227,0.359128377,0.146613546,6,1.389641434,0.484042595,0.197609562,6,metadigitize,1.726693227,2.389641434,0.426186828,1.555534249,1.555534249,0.648296614,0.060926194
Feng,17,244,2012,"Feng, Yixing, Jie Yin, Zhihao Jiao, Jiachen Shi, Ming Li, and Bing Shao. ""Bisphenol AF may cause testosterone reduction by directly affecting testis function in adult male rats."" Toxicology letters 211, no. 2 (2012): 201-209.",Toxicology letters,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Adult,Y,,grams,Lab,20-26,Gavage,Corn oil + ethanol,BPAF,2,mg/kg bw/day,mg/kg,2000,14 days,14,0,Male,Blood,NA,NA,Steroid,Cholesterol,CHO,Cholesterol,Biosynthesis,Circulating level,mmol/L,1.410452962,0.095589844,0.03902439,6,1.382578397,0.245802455,0.100348432,6,metadigitize,2.410452962,2.382578397,0.186488961,-0.149470319,0.149470319,-0.019960743,0.006033467
Feng,17,245,2012,"Feng, Yixing, Jie Yin, Zhihao Jiao, Jiachen Shi, Ming Li, and Bing Shao. ""Bisphenol AF may cause testosterone reduction by directly affecting testis function in adult male rats."" Toxicology letters 211, no. 2 (2012): 201-209.",Toxicology letters,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Adult,Y,,grams,Lab,20-26,Gavage,Corn oil + ethanol,BPAF,10,mg/kg bw/day,mg/kg,10000,14 days,14,0,Male,Blood,NA,NA,Steroid,Cholesterol,CHO,Cholesterol,Biosynthesis,Circulating level,mmol/L,1.410452962,0.095589844,0.03902439,6,1.265505226,0.177523995,0.072473868,6,metadigitize,2.410452962,2.265505226,0.14256961,-1.016680453,1.016680453,-0.108439471,0.004045224
Feng,17,246,2012,"Feng, Yixing, Jie Yin, Zhihao Jiao, Jiachen Shi, Ming Li, and Bing Shao. ""Bisphenol AF may cause testosterone reduction by directly affecting testis function in adult male rats."" Toxicology letters 211, no. 2 (2012): 201-209.",Toxicology letters,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Adult,Y,,grams,Lab,20-26,Gavage,Corn oil + ethanol,BPAF,50,mg/kg bw/day,mg/kg,50000,14 days,14,0,Male,Blood,NA,NA,Steroid,Cholesterol,CHO,Cholesterol,Biosynthesis,Circulating level,mmol/L,1.410452962,0.095589844,0.03902439,6,1.042508711,0.204835379,0.083623693,6,metadigitize,2.410452962,2.042508711,0.159835776,-2.302014351,2.302014351,-0.302280872,0.007199788
Feng,17,247,2012,"Feng, Yixing, Jie Yin, Zhihao Jiao, Jiachen Shi, Ming Li, and Bing Shao. ""Bisphenol AF may cause testosterone reduction by directly affecting testis function in adult male rats."" Toxicology letters 211, no. 2 (2012): 201-209.",Toxicology letters,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Adult,Y,,grams,Lab,20-26,Gavage,Corn oil + ethanol,BPAF,200,mg/kg bw/day,mg/kg,200000,14 days,14,0,Male,Blood,NA,NA,Steroid,Cholesterol,CHO,Cholesterol,Biosynthesis,Circulating level,mmol/L,1.410452962,0.095589844,0.03902439,6,0.903135889,0.204835379,0.083623693,6,metadigitize,2.410452962,1.903135889,0.159835776,-3.173989484,3.173989484,-0.445793153,0.009338906
Fernandez,18,248,2018,"Fernandez, Marina O., Nadia S. Bourguignon, Paula Arocena, Matías Rosa, Carlos Libertun, and Victoria Lux-Lantos. ""Neonatal exposure to bisphenol A alters the hypothalamic-pituitary-thyroid axis in female rats."" Toxicology letters 285 (2018): 81-86.",Toxicology letters,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Juvenile,N,NA,NA,Lab,NA,Injection,Castor oil,BPA,10,ug/uL,ug/uL,0.00001,10 days,10,0,Female,Blood,NA,NA,Hormone,Thyroid Stimulating Hormone,TSH,Pituitary,Thyroid,Circulating level,ng/mL,2.238095238,0.991460134,0.404761905,6,2.55952381,0.85183542,0.380952381,5,metadigitize,3.238095238,3.55952381,0.93199072,0.344883876,0.344883876,0.134196065,0.054859622
Fernandez,18,249,2018,"Fernandez, Marina O., Nadia S. Bourguignon, Paula Arocena, Matías Rosa, Carlos Libertun, and Victoria Lux-Lantos. ""Neonatal exposure to bisphenol A alters the hypothalamic-pituitary-thyroid axis in female rats."" Toxicology letters 285 (2018): 81-86.",Toxicology letters,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Juvenile,N,NA,NA,Lab,NA,Injection,Castor oil,BPA,5,ug/uL,ug/uL,0.000005,10 days,10,0,Female,Blood,NA,NA,Hormone,Thyroid Stimulating Hormone,TSH,Pituitary,Thyroid,Circulating level,ng/mL,2.238095238,0.991460134,0.404761905,6,2.261904762,0.428571429,0.214285714,4,metadigitize,3.238095238,3.261904762,0.826588349,0.028804572,0.028804572,0.010582109,0.041682177
